Site,,Latitiude,Longitude,State,Cluster,Site,Baited,Area,Area_old,2016,2017,2018,2019,2020,
Charles Darwin N,w09??,-29.5763,117.0355,1,1,1,0,1122,1308,3,2,7,5,2,ok
Charles Darwin S,w44,-29.7216,117.0316,1,1,2,1,1037,1263,4,2,4,4,4,ok
Mt Gibson Mine,w08,-29.5867,117.15374,1,2,4,0,6015,4000,24,7,15,15,17,ok
Ninhan IPA,w43,-29.4109,117.4793,1,2,3,1,300,1000,3,2,5,5,6,ok
Mt Jackson,w17,-30.2498,119.2631,1,3,5,1,5946,4000,28,16,21,15,15,
Die Hardy,w41,-29.9473,119.36925,1,3,6,0,2100,4000,8,8,6,6,2,ok
Dangali West,s05/15,-33.4678,140.63469,2,4,8,0,200,105,0,0,0,0,0,ok but 2017 chk
Bakara,s07,-34.51651,139.93816,2,4,7,1,400,400,8,6,0,1,6,ok
Oakbore,s41/42/76,-33.65371,140.630089,2,4,9,1,900,400,2,1,0,0,0,ok
Peebinga CP,s44,-34.98065,140.826,2,4,20,0,466,1000,13,8,4,5,11,check parts
Karte CP,s45,-35.08665,140.69487,2,4,21,1,320,1000,5,3,1,3,4,ok
Gluepot,"s59,60,63,52,53,54,56,57",-33.79661,140.14206,2,4,10,1,1400,207,1,1,0,1,1,burnt?
Annuello,v07,-34.88026,142.481256,3,5,11,1,512,1000,13,11,2,11,13,ok
Wandown,v15,-34.79787,142.98974,3,5,12,0,2000,1000,34,30,30,19,28,ok
Nurcoung,v28,-36.696341,141.717588,3,6,15,0,840,1000,6,8,7,9,8,ok
Tooan,v38,-36.779376,141.726682,3,6,14,1,500,1000,3,3,5,5,5,part a only no mounds 29 to 41 (not known in 2016)
Cooack,v42,-36.605202,141.707327,3,6,13,1,400,1000,3,3,2,6,3,part a only
Munyaroo,s16,-33.37789,137.271,2,7,17,0,400,1000,0,0,0,0,0,
Blueyaroo,s75??,-33.23444,136.9203,2,7,16,1,400,1000,0,0,0,0,0,
Corackerup,w11,-34.19373,118.71022,1,8,18,1,320,1000,4,4,0,5,0,part a only
Peniup,w13,-34.17908,118.77445,1,8,19,1,220,1000,2,3,0,7,0,part a only
Red Mort,w53,-34.2882,118.6454,1,8,20,0,560,1000,13,13,13,13,5,
